avg,elo,ff,loss
942886,1226,134,147
943025,1202,8,17
945186,1260,33,44
945635,1311,27,72
945672,1175,97,101
946254,1251,4,8
946322,1439,10,60
946707,1059,5,10
946738,1221,1,4
946763,1427,13,40
947719,1434,16,41
947849,1254,3,4
949343,1437,3,14
949852,1272,15,35
950392,1327,66,106
951119,1498,1,18
951359,1275,81,124
951621,1293,14,31
951834,1120,137,141
951897,1330,2,6
952423,1246,172,308
952478,1312,1,6
952606,1203,34,36
953206,1360,67,213
955191,1096,30,46
955758,1284,203,299
956022,1191,4,13
956391,1499,27,223
957917,1170,6,14
958033,1379,102,175
958497,1272,3,4
958751,1088,77,86
959042,1389,142,389
959530,1390,46,58
961738,1217,102,131
962203,881,6,7
963840,1229,1,11
964586,991,15,16
964653,1339,69,145
965717,1280,138,203
966320,1117,7,13
966394,1173,139,164
966466,1239,18,21
966712,1286,6,15
967153,975,304,331
967371,960,24,25
968229,1211,120,188
968241,1320,31,112
968369,1270,83,203
968730,1194,5,11
969058,1190,22,34
969231,1266,6,11
969589,1216,1223,1275
969885,1432,5,6
970253,1261,50,90
971005,1280,0,6
971584,1413,11,56
972482,1323,14,20
972517,1332,160,238
973038,1344,19,36
973207,1337,1,4
973398,1296,9,14
973868,1394,121,192
973907,1275,178,285
974274,1519,47,116
974518,1105,22,23
974697,1151,15,21
974927,1147,6,22
974963,1207,7,9
975222,1278,25,88
975488,1345,1,23
976290,1368,24,156
976306,1244,2,5
976397,1341,99,171
976825,1418,2,9
977429,1384,2,20
977443,1215,4,6
977774,1063,44,48
978233,1225,81,93
978385,1316,1,9
978465,1078,12,15
978601,1025,116,123
978940,1515,130,232
979489,1278,48,68
979865,1314,233,253
980120,1222,30,83
980270,1424,105,303
981289,1196,2,4
981295,1181,5,9
981794,1380,32,63
982298,1360,103,249
982447,1173,179,253
983324,1232,27,37
984191,1081,136,167
984389,1250,68,125
984601,1215,2,2
985105,1349,0,8
985665,1061,9,13
986288,1301,1,21
986762,1321,69,126
988125,1303,93,110
988261,1137,144,150
988523,1170,11,13
988594,1185,2,2
988635,1322,9,51
988806,1140,12,15
988939,1449,111,185
989525,1313,75,125
989746,1166,3,3
989760,1200,0,3
989910,1216,142,232
990213,1099,11,15
990474,1097,6,7
990627,1208,2,3
991657,1292,50,74
992083,1099,18,28
993125,1207,4,4
993908,1320,6,31
994332,1266,2,5
994803,1263,1,3
994852,1177,43,51
994890,957,45,54
994935,1178,230,255
995313,1321,30,78
995331,1361,48,234
995436,1238,102,135
995887,1422,153,418
996678,1261,10,11
997111,993,51,62
997200,1175,16,25
997209,1359,24,88
997684,1462,82,149
998230,1422,11,66
998817,1226,20,42
1000280,1320,126,249
1000345,1508,33,60
1001264,1182,8,9
1001539,1248,45,64
1002519,1401,0,4
1002624,1078,49,76
1002669,1300,1,6
1002880,1121,9,25
1003346,1116,3,3
1003758,1333,1,3
1004078,1302,9,24
1004563,1355,17,65
1004833,1397,17,80
1005851,1091,17,26
1005869,1341,208,314
1006254,1415,79,205
1006278,1219,19,28
1006500,1282,7,16
1007092,1031,41,46
1007931,1242,24,35
