date,time,elo,bastion,ow
1680219237,861780,1309,,BURIED_TREASURE
1680219297,814801,1096,,SHIPWRECK
1680219484,848449,,,SHIPWRECK
1680219688,823963,1177,,DESERT_TEMPLE
1680219776,848300,1329,,BURIED_TREASURE
1680219905,907047,1143,,SHIPWRECK
1680220025,1263862,812,,VILLAGE
1680220571,1276862,1070,,SHIPWRECK
1680272261,812593,,,RUINED_PORTAL
1680272307,1020127,1100,,SHIPWRECK
1680272528,927744,,,RUINED_PORTAL
1680272847,909687,,,VILLAGE
1680273016,841939,1429,,VILLAGE
1680273152,942017,978,,RUINED_PORTAL
1680273441,1660316,1017,,SHIPWRECK
1680273524,1142592,1264,,VILLAGE
1680274168,989054,1443,,SHIPWRECK
1680274506,1125670,1262,,BURIED_TREASURE
1680274543,939475,1064,,VILLAGE
1680274811,945189,1276,,VILLAGE
1680274991,997041,1294,,SHIPWRECK
1680275010,658248,1256,,SHIPWRECK
1680275135,1045325,1109,,VILLAGE
1680275402,1330108,971,,SHIPWRECK
1680275682,1022553,1457,,BURIED_TREASURE
1680275911,1538476,1072,,RUINED_PORTAL
1680275967,1070765,1237,,BURIED_TREASURE
1680276064,763933,1286,,SHIPWRECK
1680276427,1015691,1204,,BURIED_TREASURE
1680276672,937660,1230,,SHIPWRECK
1680304083,1029994,1044,,VILLAGE
1680304274,843750,1138,,DESERT_TEMPLE
1680304460,1116765,1122,,BURIED_TREASURE
1680304511,872259,985,,DESERT_TEMPLE
1680304619,725769,,,VILLAGE
1680304811,1364340,783,,SHIPWRECK
1680304853,1082573,1475,,SHIPWRECK
1680305173,1125385,1219,,SHIPWRECK
1680305346,1222431,1356,,SHIPWRECK
1680305391,1182979,1060,,VILLAGE
1680305414,1427396,1088,,SHIPWRECK
1680305430,1078988,1163,,VILLAGE
1680305662,1489572,1068,,SHIPWRECK
1680305920,902604,1277,,DESERT_TEMPLE
1680306418,893569,1394,,BURIED_TREASURE
1680306519,760088,1086,,VILLAGE
1680306588,1098792,1368,,RUINED_PORTAL
1680306592,1295076,1011,,SHIPWRECK
1680306790,792203,1351,,SHIPWRECK
1680306854,1399068,1133,,VILLAGE
1680307218,851896,1308,,VILLAGE
1680307458,857925,1407,,RUINED_PORTAL
1680307513,1024040,1177,,VILLAGE
1680307603,1010627,871,,SHIPWRECK
1680308164,897851,1389,,BURIED_TREASURE
1680308335,744384,1452,,BURIED_TREASURE
1680351141,1772590,1010,,RUINED_PORTAL
1680351195,1244220,1161,,SHIPWRECK
1680351207,1602703,1033,,SHIPWRECK
1680351561,738155,1321,,BURIED_TREASURE
1680352163,866600,1415,,VILLAGE
1680352689,956787,1333,,VILLAGE
1680352891,933070,1422,,BURIED_TREASURE
