893992,1467,38.9
894418,1244,65
895946,1400,12.1
897763,1368,63.5
898003,1470,19.4
898520,1321,71.4
898724,1348,69.2
899156,1421,37.5
900434,1366,47.8
900651,1487,55.8
900881,1448,36.2
900953,1340,60
901672,1304,0
903200,1313,65
904208,1121,81.6
904448,1417,69.2
904901,1448,24
905946,1276,40
906706,1355,40
908080,1328,80
908202,1382,20
908356,1123,58.3
909475,1455,51
910513,1261,50
911883,1439,40.5
912530,1359,30.4
913402,1333,22.5
913565,1368,71.4
915888,1142,40
916022,1342,51.9
917852,1347,100
917861,1572,28.7
918232,1148,84.8
918693,1521,29.1
919311,1346,20
919419,1287,66.7
920048,1262,57.9
921831,998,81.8
922264,1271,53.7
922357,1247,33.3
922882,1293,32.7
923707,1369,25
924341,1355,20
924535,1166,68.3
926892,908,25
927277,1304,29
928819,1413,42.9
928960,1385,67
929173,1270,70.7
930027,1703,5.4
930368,1285,100
930746,1205,93.1
931036,1216,63.2
932197,1282,42.9
932463,1263,68.3
933243,880,71.4
933273,1118,100
933481,1411,5.8
933613,1390,27
934998,1243,48.3
936034,1318,81.8
936162,1343,14.6
936306,1365,23.8
936384,1402,71.4
936794,960,94.8
936877,1052,65.7
937206,1160,28.8
937377,1268,25
938147,1397,78.2
938396,1283,28.6
938695,1325,84.6
939390,1202,71.4
939577,1095,63.6
940173,1328,42.9
940398,1451,30.5
940702,1314,78
941355,1542,33.3
941435,1152,81.4
942213,1258,48
942266,1205,58.3
942479,1130,84.6
943025,1202,47.1
945186,1337,76.3
946707,1059,50
946738,1221,25
947377,1285,57.9
947424,1403,65.9
947849,1254,75
947889,1392,24.7
947941,1342,40.7
949348,1345,37.7
949472,1113,89.5
949852,1322,45.2
951042,1317,60
951359,1275,65.3
951621,1293,45.2
952478,1312,16.7
952512,1189,96.9
952606,1203,94.4
953206,1360,31.5
955191,1096,65.2
957536,1221,43.2
957917,1170,42.9
958497,1272,75
959617,1161,58.7
959634,917,94.4
960763,1312,40
961474,1268,49
961719,1283,26.3
961738,1217,77.9
962127,1399,40
962950,1364,11.3
963601,1191,67.5
963840,1229,9.1
964836,982,92
964907,1202,75.6
965679,1406,72.6
966002,1338,43
966466,1239,85.7
966712,1286,40
966995,1388,15
967371,960,96
967646,1136,97.8
968085,1034,88.2
969231,1266,54.5
971005,1280,0
971082,1072,25
971472,1276,47.3
972700,1308,7.7
974697,1331,72.7
